4.0000000-29.000000-1947.0000   4.0300472e+11
4.0000000-30.000000-1947.0000   4.0268576e+11
5.0000000-1.0000000-1947.0000   4.0379328e+11
5.0000000-2.0000000-1947.0000   3.9914871e+11
5.0000000-3.0000000-1947.0000   3.9042358e+11
5.0000000-4.0000000-1947.0000   3.8487006e+11
5.0000000-5.0000000-1947.0000   3.8571334e+11
5.0000000-6.0000000-1947.0000      -999.00000
5.0000000-7.0000000-1947.0000   3.8485872e+11
5.0000000-8.0000000-1947.0000   3.7643701e+11
5.0000000-9.0000000-1947.0000   3.6963277e+11
5.0000000-10.000000-1947.0000   3.6733066e+11
5.0000000-11.000000-1947.0000   3.6539882e+11
5.0000000-12.000000-1947.0000   3.6373968e+11
5.0000000-13.000000-1947.0000      -999.00000
5.0000000-14.000000-1947.0000   3.6537696e+11
5.0000000-15.000000-1947.0000      -999.00000
5.0000000-16.000000-1947.0000      -999.00000
5.0000000-17.000000-1947.0000   3.6075143e+11
5.0000000-18.000000-1947.0000   3.6174896e+11
5.0000000-19.000000-1947.0000   3.6043604e+11
5.0000000-20.000000-1947.0000      -999.00000
5.0000000-21.000000-1947.0000   3.6069487e+11
5.0000000-22.000000-1947.0000   3.6258493e+11
5.0000000-23.000000-1947.0000   3.6519372e+11
5.0000000-24.000000-1947.0000   3.7077231e+11
5.0000000-25.000000-1947.0000   3.7443079e+11
5.0000000-26.000000-1947.0000   3.7690819e+11
5.0000000-27.000000-1947.0000      -999.00000
5.0000000-28.000000-1947.0000   3.7311264e+11
5.0000000-29.000000-1947.0000   3.7459660e+11
5.0000000-30.000000-1947.0000   3.7344631e+11
5.0000000-31.000000-1947.0000   3.7374122e+11
6.0000000-1.0000000-1947.0000   3.7708792e+11
6.0000000-2.0000000-1947.0000   3.7797970e+11
6.0000000-3.0000000-1947.0000      -999.00000
6.0000000-4.0000000-1947.0000   3.7598924e+11
6.0000000-5.0000000-1947.0000   3.7502711e+11
6.0000000-6.0000000-1947.0000   3.7297753e+11
6.0000000-7.0000000-1947.0000   3.7182210e+11
6.0000000-8.0000000-1947.0000   3.7086301e+11
6.0000000-9.0000000-1947.0000   3.6785635e+11
6.0000000-10.000000-1947.0000      -999.00000
6.0000000-11.000000-1947.0000   3.6556934e+11
6.0000000-12.000000-1947.0000   3.6428176e+11
6.0000000-13.000000-1947.0000   3.6277640e+11
